Fecha;Hora;CO;MP10;MP2.5;NO2;Nox;SO2
1/01/2019;01:00;0,4;43;43;17;10;1
1/01/2019;02:00;0,6;82;68;39;25;2
1/01/2019;03:00;0,6;68;59;31;18;2
1/01/2019;04:00;0,6;52;45;34;21;2
1/01/2019;05:00;0,4;34;25;23;17;1
1/01/2019;06:00;0,4;19;16;17;10;2
1/01/2019;07:00;0,3;14;8;19;11;2
1/01/2019;08:00;0,3;20;16;20;12;2
1/01/2019;09:00;0,3;20;9;14;10;2
1/01/2019;10:00;0,3;8;3;15;11;1
1/01/2019;11:00;0,3;13;3;24;17;1
1/01/2019;12:00;0,3;12;9;21;14;1
1/01/2019;13:00;0,5;10;1;28;20;1
1/01/2019;14:00;0,5;14;23;30;21;1
1/01/2019;15:00;0,5;15;3;29;19;1
1/01/2019;16:00;0,4;31;22;57;40;1
1/01/2019;17:00;0,4;47;31;37;25;1
1/01/2019;18:00;0,5;35;32;38;26;1
1/01/2019;19:00;0,6;31;23;51;43;1
1/01/2019;20:00;0,4;27;20;26;15;0
1/01/2019;21:00;0,7;20;15;40;26;0
1/01/2019;22:00;0,8;34;20;50;39;0
1/01/2019;23:00;0,5;25;19;31;18;0
1/01/2019;24:00:00;0,3;20;22;15;8;0
2/01/2019;01:00;0,3;21;21;19;11;0
2/01/2019;02:00;0,3;25;12;18;10;1
2/01/2019;03:00;0,2;18;13;18;10;1
2/01/2019;04:00;0,2;15;18;18;10;1
2/01/2019;05:00;0,3;18;10;24;18;1
2/01/2019;06:00;0,4;14;12;27;16;1
2/01/2019;07:00;0,4;18;14;38;29;1
2/01/2019;08:00;0,6;13;10;43;42;1
2/01/2019;09:00;0,8;27;10;51;54;1
2/01/2019;10:00;0,8;12;7;60;60;2
2/01/2019;11:00;0,7;13;8;46;40;1
2/01/2019;12:00;0,6;7;4;40;32;1
2/01/2019;13:00;0,4;9;10;37;28;1
2/01/2019;14:00;0,5;13;6;42;29;1
2/01/2019;15:00;0,6;7;13;52;40;1
2/01/2019;16:00;0,6;16;13;45;35;1
2/01/2019;17:00;0,6;17;7;37;27;1
2/01/2019;18:00;0,9;29;12;47;41;1
2/01/2019;19:00;0,9;39;23;59;49;1
2/01/2019;20:00;0,6;16;13;50;34;1
2/01/2019;21:00;0,5;15;14;43;24;0
2/01/2019;22:00;0,4;22;15;42;24;0
2/01/2019;23:00;0,4;32;26;38;22;1
2/01/2019;24:00:00;0,4;25;13;46;26;1
3/01/2019;01:00;0,3;20;7;38;21;1
3/01/2019;02:00;0,3;11;12;46;29;1
3/01/2019;03:00;0,5;25;16;50;40;1
3/01/2019;04:00;0,4;12;8;28;20;1
3/01/2019;05:00;0,3;16;16;27;23;1
3/01/2019;06:00;0,4;9;6;35;28;1
3/01/2019;07:00;0,7;14;10;56;63;2
3/01/2019;08:00;0,7;16;10;52;52;1
3/01/2019;09:00;0,7;16;6;48;45;1
3/01/2019;10:00;0,8;20;2;49;44;1
3/01/2019;11:00;0,6;17;2;49;42;1
3/01/2019;12:00;0,5;19;10;39;30;1
3/01/2019;13:00;0,6;8;3;41;31;1
3/01/2019;14:00;0,7;15;7;49;37;1
3/01/2019;15:00;0,6;17;13;53;42;1
3/01/2019;16:00;0,6;25;14;49;36;1
3/01/2019;17:00;0,6;27;18;40;30;0
3/01/2019;18:00;1,0;10;3;59;50;0
3/01/2019;19:00;1,0;30;18;49;34;0
3/01/2019;20:00;0,6;30;26;34;22;0
3/01/2019;21:00;0,6;21;18;31;23;0
3/01/2019;22:00;0,5;8;5;35;26;0
3/01/2019;23:00;0,6;16;6;38;30;0
3/01/2019;24:00:00;0,4;3;8;39;31;0
4/01/2019;01:00;0,3;11;2;32;25;0
4/01/2019;02:00;0,2;9;6;29;24;0
4/01/2019;03:00;0,3;7;5;32;26;0
4/01/2019;04:00;0,3;16;7;37;35;0
4/01/2019;05:00;0,4;18;7;46;48;1
4/01/2019;06:00;0,6;16;9;45;39;1
4/01/2019;07:00;0,8;9;10;60;74;1
4/01/2019;08:00;0,8;20;13;55;63;1
4/01/2019;09:00;1,2;18;8;57;65;1
4/01/2019;10:00;0,9;11;4;52;53;1
4/01/2019;11:00;0,8;13;1;52;52;1
4/01/2019;12:00;0,7;10;12;45;36;1
4/01/2019;13:00;0,8;22;11;48;34;1
4/01/2019;14:00;0,7;23;20;57;44;1
4/01/2019;15:00;0,9;36;39;48;44;1
4/01/2019;16:00;0,5;9;11;40;28;0
4/01/2019;17:00;1,1;16;2;65;70;0
4/01/2019;18:00;1,3;23;14;76;88;1
4/01/2019;19:00;1,0;36;19;70;79;1
4/01/2019;20:00;0,9;10;9;61;59;1
4/01/2019;21:00;0,5;2;6;49;36;0
4/01/2019;22:00;0,5;11;3;52;45;1
4/01/2019;23:00;0,9;16;10;64;73;1
4/01/2019;24:00:00;0,9;20;18;62;79;1
5/01/2019;01:00;0,7;10;17;;;
5/01/2019;02:00;0,5;15;8;44;36;
5/01/2019;03:00;0,4;13;6;33;27;
5/01/2019;04:00;0,3;14;8;25;19;
5/01/2019;05:00;0,3;14;8;15;14;
5/01/2019;06:00;0,3;2;9;16;12;
5/01/2019;07:00;0,6;11;8;35;33;
5/01/2019;08:00;0,5;17;14;46;43;
5/01/2019;09:00;0,7;13;11;45;42;
5/01/2019;10:00;0,8;11;8;39;35;
5/01/2019;11:00;0,8;15;6;50;57;
5/01/2019;12:00;0,7;9;6;44;44;
5/01/2019;13:00;0,7;13;4;38;34;
5/01/2019;14:00;0,7;4;3;37;29;
5/01/2019;15:00;0,8;5;1;47;41;
5/01/2019;16:00;0,9;15;9;51;43;
5/01/2019;17:00;0,8;10;5;39;36;
5/01/2019;18:00;0,6;10;10;32;26;
5/01/2019;19:00;0,8;12;9;39;33;
5/01/2019;20:00;0,8;17;13;38;30;
5/01/2019;21:00;0,9;14;11;54;57;
5/01/2019;22:00;0,8;17;11;47;46;
5/01/2019;23:00;0,5;3;5;28;20;
5/01/2019;24:00:00;0,4;12;6;27;18;
6/01/2019;01:00;0,5;12;8;21;12;
6/01/2019;02:00;0,4;13;5;;;
6/01/2019;03:00;0,5;7;7;29;19;
6/01/2019;04:00;0,5;9;5;41;28;
6/01/2019;05:00;;7;10;44;41;
6/01/2019;06:00;0,7;15;7;43;45;
6/01/2019;07:00;0,8;14;10;42;52;
6/01/2019;08:00;0,9;21;10;39;50;
6/01/2019;09:00;0,7;16;6;39;40;
6/01/2019;10:00;0,5;3;2;31;26;
6/01/2019;11:00;0,5;5;0;27;22;
6/01/2019;12:00;0,5;13;2;27;21;
6/01/2019;13:00;0,5;12;20;26;19;
6/01/2019;14:00;0,4;14;10;23;17;
6/01/2019;15:00;0,5;8;5;28;21;
6/01/2019;16:00;0,3;6;2;15;11;
6/01/2019;17:00;0,5;1;6;26;19;
6/01/2019;18:00;0,6;14;11;39;29;
6/01/2019;19:00;0,7;34;23;67;49;
