Fecha;Hora;CO;MP10;MP2.5;NO2;Nox;O3;DV;VV;P;RG;UV;T;HR
1/01/2019;01:00;;;;;;;;;;;;;
1/01/2019;02:00;;;;;;;;;;;;;
1/01/2019;03:00;;;;;;;;;;;;;
1/01/2019;04:00;;;;;;;;;;;;;
1/01/2019;05:00;;;;;;;;;;;;;
1/01/2019;06:00;;;;;;;;;;;;;
1/01/2019;07:00;;;;;;;;;;;;;
1/01/2019;08:00;;;;;;;;;;;;;
1/01/2019;09:00;;;;;;;;;;;;;
1/01/2019;10:00;;;;;;;;;;;;;
1/01/2019;11:00;;;;;;;;;;;;;
1/01/2019;12:00;;;;;;;;;;;;;
1/01/2019;13:00;;;;;;;;;;;;;
1/01/2019;14:00;;;;;;;;;;;;;
1/01/2019;15:00;;;;;;;;;;;;;
1/01/2019;16:00;;;;;;;;;;;;;
1/01/2019;17:00;;;;;;;;;;;;;
1/01/2019;18:00;;;;;;;;;;;;;
1/01/2019;19:00;;;;;;;;;;;;;
1/01/2019;20:00;;;;;;;;;;;;;
1/01/2019;21:00;;;;;;;;;;;;;
1/01/2019;22:00;;;;;;;;;;;;;
1/01/2019;23:00;;;;;;;;;;;;;
1/01/2019;24:00:00;;;;;;;;;;;;;
2/01/2019;01:00;;;;;;;;;;;;;
2/01/2019;02:00;;;;;;;;;;;;;
2/01/2019;03:00;;;;;;;;;;;;;
2/01/2019;04:00;;;;;;;;;;;;;
2/01/2019;05:00;;;;;;;;;;;;;
2/01/2019;06:00;;;;;;;;;;;;;
2/01/2019;07:00;;;;;;;;;;;;;
2/01/2019;08:00;;;;;;;;;;;;;
2/01/2019;09:00;;;;;;;;;;;;;
2/01/2019;10:00;;;;;;;;;;;;;
2/01/2019;11:00;;;;;;;;;;;;;
2/01/2019;12:00;;;;;;;;;;;;;
2/01/2019;13:00;;;;;;;;;;;;;
2/01/2019;14:00;;;;;;;;;;;;;
2/01/2019;15:00;;;;;;;;;;;;;
2/01/2019;16:00;;;;;;;;;;;;;
2/01/2019;17:00;;;;;;;;;;;;;
2/01/2019;18:00;;;;;;;325;2,8;;;;;
2/01/2019;19:00;0,4;4;;;;51;307;1,6;921,9;36;4;28,9;59
2/01/2019;20:00;0,4;16;0;;;45;131;1,3;922,4;64;2;27,2;69
2/01/2019;21:00;0,4;9;0;;;38;113;1,2;923,2;4;0;26,6;71
2/01/2019;22:00;0,4;23;5;;;41;96;1,8;923,9;0;0;25,8;77
2/01/2019;23:00;0,4;31;3;;;26;105;1,4;924,7;0;0;25,6;77
2/01/2019;24:00:00;0,4;15;0;;;9;97;1,6;924,8;0;0;25,7;74
3/01/2019;01:00;0,4;21;8;;;9;103;1,1;924,1;0;0;25,2;76
3/01/2019;02:00;0,3;24;4;;;9;777;0,0;923,4;0;0;25,4;74
3/01/2019;03:00;0,3;14;10;;;21;336;0,9;922,7;0;0;25,7;69
3/01/2019;04:00;0,2;19;1;;;30;332;1,3;922,4;0;0;25,4;69
3/01/2019;05:00;0,3;14;4;;;18;330;0,9;922,1;0;0;24,8;72
3/01/2019;06:00;0,2;12;4;;;28;329;1,0;922,5;0;0;24,6;71
3/01/2019;07:00;0,2;7;4;;;29;331;1,6;923,3;3;0;24,7;71
3/01/2019;08:00;0,2;13;19;;;22;334;1,1;923,7;43;3;24,9;69
3/01/2019;09:00;0,3;13;3;;;31;329;1,5;924,0;213;12;26,0;66
