Fecha;Hora;CO;MP10;MP2.5;NO2;Nox;O3;DV;VV;T;HR
1/01/2019;01:00;0,3;28;;9;5;56;147;2,4;22,3;77
1/01/2019;02:00;0,5;32;;13;7;47;155;1,7;22,1;78
1/01/2019;03:00;0,4;68;;12;7;45;153;1,7;22,2;76
1/01/2019;04:00;0,4;75;;9;5;45;149;1,9;22,3;75
1/01/2019;05:00;0,3;32;;9;5;45;148;1,9;22,0;77
1/01/2019;06:00;0,3;23;;8;5;44;4;1,1;22,1;77
1/01/2019;07:00;0,3;17;;16;10;33;341;0,9;21,9;79
1/01/2019;08:00;0,3;28;;13;8;38;174;1,4;22,1;79
1/01/2019;09:00;0,3;19;;12;10;40;177;1,5;23,1;75
1/01/2019;10:00;0,3;18;;7;5;52;21;1,5;24,6;70
1/01/2019;11:00;0,2;19;;7;5;59;37;2,2;27,9;58
1/01/2019;12:00;0,2;21;;5;4;62;345;1,8;28,7;55
1/01/2019;13:00;0,2;12;;5;4;71;309;2,0;30,7;50
1/01/2019;14:00;0,2;14;;5;3;78;296;2,1;32,3;42
1/01/2019;15:00;0,2;23;;5;3;85;277;2,0;32,8;38
1/01/2019;16:00;0,2;22;;6;4;94;167;2,8;31,5;48
1/01/2019;17:00;0,2;24;;6;3;80;150;4,4;27,0;68
1/01/2019;18:00;0,2;25;;8;4;74;138;4,3;25,5;73
1/01/2019;19:00;0,3;35;;13;8;66;101;2,6;23,7;83
1/01/2019;20:00;0,3;25;;18;10;62;157;1,5;21,8;94
1/01/2019;21:00;0,4;10;;19;11;40;162;1,2;22,5;95
1/01/2019;22:00;0,4;19;;21;12;30;165;1,1;22,8;94
1/01/2019;23:00;0,5;26;;26;15;21;172;1,0;23,1;93
1/01/2019;24:00:00;0,4;29;;21;12;25;177;1,0;22,9;93
2/01/2019;01:00;0,4;26;;16;9;27;335;1,0;22,7;91
2/01/2019;02:00;0,3;26;;16;9;24;179;1,2;22,6;90
2/01/2019;03:00;0,3;19;;15;8;18;2;0,7;22,3;91
2/01/2019;04:00;0,3;;;17;12;9;777;0,0;22,2;93
2/01/2019;05:00;0,4;17;;23;30;0;36;0,8;22,0;94
2/01/2019;06:00;0,4;18;;20;24;1;777;0,0;21,8;95
2/01/2019;07:00;0,8;18;;23;84;4;16;0,7;21,7;95
2/01/2019;08:00;0,9;30;;29;97;4;347;0,8;22,2;94
2/01/2019;09:00;0,6;;;36;51;8;349;1,2;23,6;84
2/01/2019;10:00;0,5;24;;27;25;29;2;2,0;25,6;72
2/01/2019;11:00;0,4;16;;22;19;41;342;2,4;28,3;61
2/01/2019;12:00;0,4;15;;22;17;49;334;2,7;29,3;57
2/01/2019;13:00;0,4;14;;17;13;56;335;2,7;29,7;55
2/01/2019;14:00;0,3;12;;17;13;63;324;2,9;31,4;48
2/01/2019;15:00;0,3;9;;16;13;62;339;2,6;32,6;44
2/01/2019;16:00;0,3;7;;16;12;64;321;2,4;33,3;41
2/01/2019;17:00;0,3;12;;16;12;57;328;2,8;33,4;41
2/01/2019;18:00;0,4;10;;26;23;49;343;2,8;31,1;51
2/01/2019;19:00;0,5;15;;32;25;42;314;1,8;29,2;58
2/01/2019;20:00;0,5;19;;39;23;43;169;1,3;28,0;67
2/01/2019;21:00;0,5;24;;39;31;26;22;1,1;27,9;61
2/01/2019;22:00;0,5;20;;41;28;28;37;1,8;26,9;69
2/01/2019;23:00;0,5;34;;40;27;34;30;1,4;26,1;75
2/01/2019;24:00:00;0,5;42;;38;25;27;31;1,4;26,4;71
3/01/2019;01:00;0,4;25;27;33;21;23;32;1,3;26,1;71
3/01/2019;02:00;0,4;19;19;36;28;15;337;0,9;26,0;70
3/01/2019;03:00;0,3;19;15;29;23;18;343;1,1;25,5;71
3/01/2019;04:00;0,3;17;17;19;11;29;2;1,5;25,0;72
3/01/2019;05:00;0,3;13;12;18;12;28;350;1,6;24,6;74
3/01/2019;06:00;0,3;18;13;25;18;24;353;1,7;24,4;74
3/01/2019;07:00;0,5;17;8;33;35;14;339;1,4;24,4;73
3/01/2019;08:00;0,5;13;10;32;35;15;357;1,8;24,8;71
3/01/2019;09:00;0,6;21;9;31;37;17;348;1,9;25,5;70
3/01/2019;10:00;0,5;;6;27;25;30;18;2,8;27,3;64
3/01/2019;11:00;0,5;14;4;;;47;337;2,7;30,3;54
3/01/2019;12:00;0,4;25;13;26;19;53;329;2,9;30,2;53
3/01/2019;13:00;0,4;20;14;25;20;59;341;3,2;31,4;50
3/01/2019;14:00;0,4;14;9;22;16;67;329;3,1;32,3;47
3/01/2019;15:00;0,3;18;6;20;13;73;305;2,8;33,5;44
3/01/2019;16:00;0,3;25;14;22;16;65;342;2,6;34,1;40
3/01/2019;17:00;0,3;17;5;20;14;65;318;2,4;33,9;40
3/01/2019;18:00;0,4;17;6;29;22;59;349;2,9;32,4;50
3/01/2019;19:00;0,4;28;24;35;30;44;344;2,5;29,5;56
3/01/2019;20:00;0,4;22;3;33;24;38;342;2,7;26,6;68
3/01/2019;21:00;0,3;12;9;20;15;39;347;2,7;23,1;87
3/01/2019;22:00;0,4;11;5;24;17;31;353;2,1;22,4;92
3/01/2019;23:00;0,3;13;4;26;21;29;14;2,1;22,0;93
3/01/2019;24:00:00;0,4;9;3;30;25;23;1;1,6;22,0;93
4/01/2019;01:00;0,3;6;2;18;11;34;356;2,0;21,9;93
4/01/2019;02:00;0,2;4;8;13;11;35;349;1,9;21,8;90
4/01/2019;03:00;0,2;2;5;9;6;31;345;1,6;21,9;89
4/01/2019;04:00;0,3;4;5;14;9;26;337;1,7;22,0;88
4/01/2019;05:00;0,3;8;6;23;16;18;337;1,5;22,0;87
4/01/2019;06:00;0,4;8;6;33;26;9;1;1,1;22,1;86
4/01/2019;07:00;0,6;11;9;44;52;3;354;1,1;22,2;87
4/01/2019;08:00;0,7;19;8;44;54;4;345;1,8;22,8;84
4/01/2019;09:00;0,7;18;6;36;36;13;345;1,7;23,6;79
4/01/2019;10:00;0,7;16;6;34;39;17;350;1,9;24,8;74
4/01/2019;11:00;0,5;22;4;29;29;24;335;2,8;26,5;68
4/01/2019;12:00;0,5;20;6;26;23;39;343;2,6;28,4;62
4/01/2019;13:00;0,5;22;10;24;19;57;331;2,5;30,1;56
4/01/2019;14:00;0,5;15;11;28;22;64;343;2,8;31,9;50
4/01/2019;15:00;0,4;11;30;25;17;46;217;2,2;25,6;76
4/01/2019;16:00;0,5;18;10;30;25;25;47;1,5;22,3;94
4/01/2019;17:00;0,8;11;1;43;41;15;291;1,0;23,5;93
4/01/2019;18:00;1,0;16;5;61;74;7;162;1,2;24,8;87
4/01/2019;19:00;0,6;19;19;42;31;16;172;1,8;24,0;84
4/01/2019;20:00;0,7;12;9;44;38;11;155;1,5;22,7;89
4/01/2019;21:00;0,8;13;3;49;38;6;28;0,8;22,4;92
4/01/2019;22:00;0,8;10;8;47;54;5;28;0,8;22,4;92
4/01/2019;23:00;0,7;10;9;62;73;4;331;1,1;22,5;93
